Recipe ID,Nama Resep,Energi (kj),Energi (kkal),Lemak (g),Lemak Jenuh (g),Lemak Trans (g),Lemak tak Jenuh Ganda (g),Lemak tak Jenuh Tunggal (g),Kolesterol (mg),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (mg),Kalium (mg),Kategori,Keywords,PrepTime,CookTime,Ingredients,Instructioons,Meal Category
15,Kue Oat Pisang,638,153,4.96,0.813,0.0,0.748,0.001743,39.0,4.04,23.24,2.7,4.9,31.0,75.0,"""Roti & Produk Panggang"",""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Camilan lembab"",""sehat dan lezat.""",15 menit,30 menit,"""100 g telur"",""1 porsi minyak nabati"",""250 g oat"",""45 ml low fat milk"",""30 g choco chips"",""200 gram pisang raja""","""Haluskan pisang raja."",""Tambahkan telur"",""minyak"",""dan susu. Campur dengan baik."",""Tambahkan oat giling dan 15g keping cokelat"",""lalu aduk rata."",""Tuang adunan ke dalam acuan dan hiaskan baki choco chips. Bakar selama kira-kira 30 minit pada suhu 150°C."",""Biarkan dingin lalu iris.""",sarapan
16,Kue Pisang Kukus,759,181,9.44,0.003894,0.238,0.595,0.659,14.0,4.32,21.89,3.7,10.98,71.0,114.0,"""Makanan Ringan"",""Makanan Penutup"",""Makan Pagi""","""Cemilan yang simple"",""sehat dan mudah dibuat.""",15 menit,25 menit,"""170 gram putih telur"",""270 gram pisang"",""10 gram chia seed"",""5 gram kacang almond"",""1 sdt"",""bongkahan gula merah"",""75 g salted butter"",""120 g oatmeal rolled oats"",""75 g palm sugar"",""60 g dark chocolate chips"",""27 g susu""","""Kocok putih telur dengan 2 gula."",""Masukkan pisang lecek"",""oat"",""dan biji chia."",""Tambahkan mentega cair dan susu. Campur dengan baik."",""Tempatkan ke dalam cetakan dan hiasi dengan keping cokelat dan almond cincang. Kukus selama 25 menit.""",sarapan
19,Tahu Dihancurkan dengan Telur Orak Arik,651,156,11.34,0.003326,0.0,0.003615,0.003106,116.0,8.91,6.43,1.6,1.55,48.0,221.0,"""Makan Pagi"",""Makan Siang""","""Hidangan untuk makan siang dengan s rendah.""",10 menit,20 menit,"""110 gram telur"",""16 gram cabai merah atau rawit"",""10 gram bawang putih"",""30 gram daun bawang"",""2 sdm minyak goreng"",""232 gram tahu"",""35 gram bawang bombay""","""Tuangkan minyak"",""kemudian tumis bawang putih"",""bawang bombay"",""dan rawit."",""Setelah berwarna sedikit kecoklatan"",""masukkan telur dan diorak arik."",""Tambahkan tahu dan hancurkan. Tuangkan air secukupnya."",""Bumbui sesuai selera."",""Masukkan bawang daun dan sajikan.""",sarapan
22,Nasi Goreng Sayuran,1741,416,8.87,0.00216,0.0,0.002497,0.002968,228.0,15.58,70.19,0.0,6.68,943.0,912.0,"""Makan Pagi"",""Makan Siang"",""Hidangan Utama"",""Lauk Pauk""","""Hidangan yang mengenyangkan"",""sarat dengan nutrisi.""",10 menit,10 menit,"""1 besar telur"",""1 mangkok"",""masak nasi putih"",""100 gram wortel"",""100 gram selada kol"",""1 sdm sambal goreng"",""100 gram sawi hijau""","""Dalam wajan antilengket"",""kocok telur."",""Tambahkan nasi dan saus sambal. Mengaduk."",""Masukkan sayuran dan aduk rata."",""Bumbui sesuai selera.""",sarapan
24,Roti Pisang Havermut,971,232,5.86,0.001722,0.0,0.815,0.001616,106.0,7.3,39.64,4.2,17.62,456.0,256.0,"""Roti & Produk Panggang"",""Makanan Ringan"",""Makan Pagi""","""Camilan panggang yang manis dan lembab.""",20 menit,20 menit,"""50 g telur"",""1 sejumput garam"",""1/2 sdt ekstrak vanila"",""120 gram pisang"",""1/2 sdt baking soda"",""1 sdm madu"",""30 g havermut instan"",""20 g cokelat hitam & granola almond""","""Hancurkan pisang dan campur dengan telur"",""vanila"",""dan madu."",""Tambahkan oatmeal"",""garam"",""dan soda kue."",""Tuang ke dalam cetakan roti dan taburi dengan granola."",""Panggang dalam oven dengan suhu 180°C selama 20 menit atau hingga adonan tidak lengket lagi."",""Biarkan dingin sebelum membuka cetakan dan mengiris.""",sarapan
25,Goreng Labu dengan Jagung,507,121,3.93,0.656,0.0,0.276,0.411,35.0,3.82,19.07,0.0,1.24,16.0,148.0,"""Makan Siang"",""Makan Pagi"",""Makanan Ringan"",""Lauk Pauk""","""Sarapan atau camilan rendah gula.""",20 menit,15 menit,"""1 besar telur"",""1 gelas jagung"",""1 sdt bawang putih bubuk"",""1 sdt"",""tumbuk oregano"",""1 sejumput lada hitam"",""100 gram labu"",""1 sdm minyak zaitun extra virgin"",""100 g tepung terigu""","""Potong dadu labu"",""rebus dengan air hingga empuk"",""tiriskan."",""Campur dalam blender dengan bahan lain"",""kecuali tepung dan minyak."",""Masukkan tepung dan aduk hingga rata."",""Masak dalam wajan dengan minyak sampai berwarna keemasan dan kencang.""",sarapan
26,Roti Pisang dan Keju,1172,280,8.75,0.0055,0.0,0.0,0.0,0.0,0.0,41.5,4.0,5.0,495.0,0.0,"""Roti & Produk Panggang"",""Makanan Ringan"",""Makan Pagi""","""Camilan mudah disiapkan dengan 3 bahan.""",10 menit,5 menit,"""100 g pisang"",""30 g keju quick leleh"",""1 lembar roti tawar gandum""","""Iris pisang dan parut keju."",""Susun di atas roti."",""Masak dalam penggorengan udara pada suhu 190°C selama 5 menit.""",sarapan
27,Pancake Protein Oat,362,86,1.62,0.638,0.0,0.00017,0.476,68.0,8.57,8.3,2.8,0.84,38.0,17.0,"""Makanan Ringan"",""Makan Pagi""","""Sarapan atau makanan ringan tanpa tambahan gula.""",10 menit,5 menit,"""1 besar telur"",""1/2 gelas air"",""35 g oat gulung biasa"",""2 ml pemanis"",""1 sendok air dadih coklat"",""3 g bubuk pengembang""","""Giling oat hingga menjadi bubuk lalu campurkan dengan bahan kering lainnya."",""Campur semuanya sampai halus."",""Masak dalam wajan antilengket sampai keras di kedua sisi.""",sarapan
28,Brownies Oatmeal,689,165,5.4,0.00183,0.0,0.001502,0.0012829999999999,47.0,4.4,26.59,3.4,12.2,178.0,216.0,"""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Makanan penutup yang manis"",""kaya"",""dan sehat.""",20 menit,15 menit,"""1 sedang telur"",""2 kecil pisang"",""1/2 sdt baking soda"",""4 sdt gula pasir"",""1 sdm minyak goreng"",""44 g instant oatmeal"",""9 g cocoa powder"",""58 ml susu uht kids cokelat"",""4 g baking powder""","""Giling oatmeal dalam blender. Menyisihkan."",""Tumbuk pisang."",""Campurkan semua bahan dengan baik."",""Masukkan adunan ke dalam acuan dan kukus selama 15 minit."",""Biarkan ia sejuk"",""buang acuan dan potong.""",sarapan
30,"Salad Sayur dengan Ayam, Tahu, dan Tempe",816,195,9.88,0.001746,0.0,0.002316,0.002878,28.0,18.78,9.58,0.0,3.9,136.0,514.0,"""Salad dan Salad Dressing"",""Makan Siang"",""Makanan Ringan""","""Hidangan sehat untuk makan siang.""",10 menit,20 menit,"""70 gram daging ayam (panggang"",""bakar"",""dimasak)"",""100 gram kubis"",""100 gram selada daun hijau"",""50 gram tempe"",""100 gram tahu"",""20 g saus salad pulau seribu""","""Potong-potong ayam"",""tahu"",""dan tempe. Masak dalam wajan antilengket sampai empuk."",""Masukkan semua bahan ke dalam mangkuk."",""Sajikan sampai segar.""",sarapan
31,Bihun dengan Sayuran,1013,242,3.85,0.054,0.0,0.00017,0.022,0.0,4.35,47.79,3.7,4.55,888.0,368.0,"""Makan Siang"",""Makan Pagi"",""Makanan Ringan""","""Hidangan sederhana"",""rendah kalori.""",10 menit,10 menit,"""60 gram carrots"",""60 gram broccoli (with salt"",""drained"",""cooked"",""boiled)"",""55 g bihun rasa ayam bawang""","""Masak mie sesuai petunjuk kemasan."",""Rebus sayuran selama 5 menit."",""Campur mie dan sayuran"",""bumbui sesuai keinginan"",""dan sajikan.""",sarapan
35,Smoothie Buah Naga dan Pisang,1172,280,3.48,0.001177,0.0,0.233,0.096,0.0,4.98,60.4,5.6,38.44,36.0,642.0,"""Makan Pagi"",""Makanan Ringan""","""Sarapan ringan"",""cepat"",""dan tinggi serat.""",15 menit,.,"""2 sedang pisang"",""130 ml yakult"",""1 mangkok buah naga"",""20 g cinnamon & raisin"",""70 g squeeze yogurt peach""","""Potong pisang dan buah naga."",""Masukkan kesemuanya ke dalam pengisar dan kisar sehingga sebati."",""Tempatkan dalam mangkuk dan hiasi dengan granola dan buah sesuai keinginan. Nikmati sarapan Anda.""",sarapan
36,Bolu Oatmeal Pisang Cokelat,442,106,2.83,0.432,0.0,8e-05,0.381,18.0,2.96,18.69,2.9,6.24,469.0,117.0,"""Roti & Produk Panggang"",""Makan Pagi"",""Makanan Ringan""","""Pilihan sehat untuk menikmati sarapan Anda.""",15 menit,30 menit,"""50 gram egg"",""375 gram banana"",""10 g cocoa powder"",""150 g whole rolled oats"",""5 g coconut sugar"",""50 g choco chips"",""2.5 g baking powder""","""Haluskan pisang."",""Campur semua bahan."",""Panggang selama 30 menit pada suhu 170°C."",""Hasilnya jadi 2 loyang bisa dibagi 12 potong.""",sarapan
39,Oat Panekuk,228,54,1.87,0.588,0.0,0.336,0.681,42.0,2.44,7.1,0.6,1.23,18.0,33.0,"""Makan Pagi"",""Makanan Ringan"",""Makanan Penutup""","""Resep yang mudah"",""enak dan rendah kalori.""",10 menit,15 menit,"""1 besar telur"",""1/4 cangkir instant oatmeal"",""80 ml chocolate drink""","""Haluskan oatmeal hinggah tekstur menjadi tepung."",""Tambahkan sebutir telur dan aduk rata."",""Tambahkan chocolatos dan aduk."",""Masak di atas pan anti lengket hingga matang kedua sisinya.""",sarapan
41,Tumis Brokoli,329,79,0.52,0.067,0.0,0.00013,0.028,0.0,3.49,17.22,4.4,6.56,0.13,513.0,"""Lauk Pauk"",""Makan Siang"",""Makan Pagi""","""Yuk buat menu simple dari brokoli yg rendah lemak dan tanpa minyak!""",10 menit,15 menit,"""250 gram brokoli"",""160 gram wortel"",""3 siung bawang putih"",""1/2 sdt gula pasir"",""1 sejumput garam laut"",""2 kecil bawang merah"",""2.5 g kaldu jamur""","""Rebus wortel dan brokoli"",""tujuannya supaya empuk dan matang merata ketika ditumis."",""Tumis bawang merah dan bawang putih yang sudah dicincang pada teflon anti lengket tanpa menggunakan minyak masak."",""Setelah bumbu matang"",""masukkan wortel dan brokoli yang sudah direbus"",""aduk merata sambil ditambahkan gula"",""garam dan kaldu jamur."",""Tumis brokoli siap disajikan.""",sarapan
42,Omlete Tahu Telur,971,232,18.92,0.006129,0.0,0.003201,0.008397,212.0,14.26,2.48,0.3,0.81,2.405,185.0,"""Makan Pagi"",""Hidangan Utama""","""Sarapan yang mudah dan penuh protein.""",5 menit,10 menit,"""1 besar telur"",""1 sdt garam"",""100 gram tahu"",""1 sendok makan minyak goreng sawit""","""Hancurkan tahu dalam mangkuk."",""Kocok telur"",""campur dengan tahu dan bumbui dengan garam."",""Masukkan minyak ke dalam wajan."",""Goreng hingga matang.""",sarapan
44,Muesli Simple,1067,255,7.3,0.003657,0.0,0.001498,0.001709,0.01,6.96,42.21,5.8,13.76,58.0,0.15,"""Makan Pagi"",""Makanan Ringan""","""Tidak perlu dimasak!""",10 menit,.,"""100 ml susu (susu murni)"",""2 gram chia seed"",""50 g muesli dried fruit""","""Masukan susu dan muesli kedalam mangkok."",""Lalu masukan ke kulkas diamkan semalaman."",""Siap disantap pada pagi hari lalu taburi chia seed diatasnya."",""Bisa ditambahkan dengan buah buahan (opsional).""",sarapan
45,Jus Bokcoy,393,94,0.18,0.006,0.0,0.022,0.004,0.0,1.02,24.57,0.0,19.71,22.0,0.2,"""Makanan Penutup"",""Minuman"",""Makan Pagi""","""Jus hijau mudah.""",5 menit,.,"""1/2 fresh lime juice"",""3 sdt sugar"",""3 slices pineapple (extra sweet)"",""3 daun chinese cabbage (bok-choy"",""pak-choi)"",""700 ml water""","""Cuci buah dan sayur."",""Rendam bokcoy dalam air panas"",""sebentar saja."",""Blender semua bahan.""",sarapan
46,Jus,146,35,0.28,0.038,0.0,0.154,0.043,0.0,0.93,8.58,2.2,4.28,36.0,262.0,"""Makan Pagi"",""Minuman"",""Makanan Penutup""","""Jus ini merupakan sumber vitamin yang sangat baik.""",8 menit,.,"""1/4 iris lime"",""6 sedang strawberries"",""1 medium carrots"",""1 kecil utuh tomatoes"",""1.2 l air"",""1 sachet sweetener classic""","""Cuci dan potong buah dan sayur."",""Masukkan ke blender"",""campurkan dengan air dan pemanis"",""tambahkan air jeruk nipis."",""Blender hingga halus.""",sarapan
51,Banana Oat Cookies,503,120,2.06,0.288,0.0,0.525,0.764,0.0,2.57,25.29,3.6,9.91,0.0,172.0,"""Roti & Produk Panggang""","""Sehat dan enak!""",10 menit,30 menit,"""3 kurma"",""10 gram kismis"",""125 gram pisang"",""60 g havermout oatmeal instan"",""6 g choco chips""","""Lumatkan pisang sampai halus dengan garpu."",""Tambahkan oat dan bahan lainnya"",""campur sampai menyatu."",""Ambil sesendok campuran dan letakkan di airfryer / loyang"",""tekan ratakan dengan garpu."",""Panggang kue dengan suhu 160°C selama 30 menit."",""Angkat dan dinginkan. Siap disajikan.""",sarapan
53,Healthy Banana Oat Muffin,1922,459,12.23,0.678,0.0,0.446,0.634,0.04,14.1,78.65,3.1,41.11,0.47,662.0,"""Roti & Produk Panggang"",""Makan Pagi"",""Makanan Ringan""","""Kaya dan dekaden tapi tetap sehat!""",15 menit,25 menit,"""57 gram telur"",""1 gram garam"",""2 gram baking soda"",""75 gram oat"",""157 g banana"",""15 g cocoa powder"",""18 g coconut sugar"",""2 g kopi bubuk"",""2 g baking powder"",""2100 g squeeze yoghurt""","""Blender oats sampai jadi halus atau merupai tepung. Bisa pakai tepung lain."",""Campur tepung oats"",""cocoa powder"",""baking soda"",""baking powder"",""kopi instan"",""gula dan garam."",""Haluskan pisang lalu campurkan dengan telur dan yogurt."",""Campur adonan basah dengan adonan kering."",""Masukan adonan muffin ke cup/loyang yang sudah anda sediakan."",""Tambahkan topping pilihan anda sesuai selera."",""Panggang di oven 180°C sekitar 20 - 25 menit."",""Angkat dan dinginkan.""",sarapan
55,Tahu Telur,849,203,14.97,0.004138,0.0,0.0022229999999999,0.004398,212.0,14.7,3.7,0.5,0.96,2.413,252.0,"""Hidangan Utama"",""Makan Pagi"",""Makan Siang"",""Lauk Pauk""","""Hidangan tahu telur sempurna dengan jumlah bahan minimal.""",5 menit,10 menit,"""1 besar telur"",""1 siung bawang putih dimasak"",""1 sdt garam"",""10 gram bayam"",""2 gram bawang merah"",""100 gram tahu"",""2 ml minyak goreng""","""Hancurkan tahu."",""Iris kecil-kecil bayam."",""Campur tahu"",""bayam dengan telur."",""Haluskan bawang merah dan bawang putih beserta garam."",""Tumis bumbu halus."",""Masukkan adonan tahu dan masak hingga matang.""",sarapan
56,Chia Seed Yakult,644,154,3.12,0.323,0.0,0.002351,0.219,0.0,3.64,27.62,0.0,20.96,22.0,35.0,"""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Mangkuk buah chia yang dibuat ekstra sehat dengan yakult.""",15 menit,.,"""10 gram chia seed"",""2 botol yakult"",""10 gram buah naga""","""Campurkan chia seed dengan Yakult."",""Diamkan selama 5-10 menit di lemari es."",""Tambahkan potongan buah naga.""",sarapan
59,Oat Cookies,101,24,0.51,0.262,0.0,2e-05,0.115,1.0,0.54,4.66,0.5,2.73,7.0,57.0,"""Makanan Ringan"",""Makanan Penutup"",""Makan Pagi""","""Kue oatmeal manis dengan sedikit kebaikan keju.""",15 menit,15 menit,"""4 kurma"",""20 gram keju cheddar"",""1 sdt ekstrak vanila"",""2 kecil pisang"",""62 g oatmeal""","""Kupas buah pisang masukan dalam mangkok hancurkan hingga halus."",""Potong kurma dan parut keju masukan dalam mangkuk hancuran pisang tadi tambahkan vanilla paste. Tambahkan oatmeal."",""Campur adonan hingga merata cetak adonan pada loyang lalu panggang adoan di oven suhu 180°C selama kurleb 15 menitan.""",sarapan
60,Bakso Ayam Oat,823,197,6.18,0.002553,0.0,0.976,0.001756,95.0,19.25,15.26,1.4,1.17,908.0,183.0,"""Makanan Pembuka"",""Hidangan Utama"",""Lauk Pauk""","""Makanan ramah anggaran dan sehat.""",15 menit,15 menit,"""200 gram dada ayam (kulit tidak dimakan)"",""1 besar telur"",""1/2 sdm minyak kelapa"",""1 sdt garam"",""3 siung bawang putih"",""5 gram daun bawang"",""1 kecil bawang merah"",""52.5 g instant oatmeal"",""10 g tepung pati jagung"",""10 g kaldu jamur"",""3 g lada putih bubuk"",""1 sdm saos tiram""","""Goreng bawang merah dg minyak kelapa hingga kering."",""Campur semua bahan dalam blender kecuali daun bawang. Tambahkan daun bawang dan bawang goreng."",""Rebus air hingga mendidih"",""kecilkan kompor. Masukkan bakso bentuk sesuai selera."",""Didihkan kembali rebus selama 10 menit"",""hingga bakso mengambang."",""Sajikan bisa di sup/dibakar.""",sarapan
65,Healthy Oatmeal Bar,393,94,3.51,0.718,0.0,0.322,0.482,0.0,2.84,13.67,0.0,2.82,17.0,46.0,"""Makanan Ringan"",""Makan Pagi""","""Tidak ada tepung"",""telur"",""atau susu.""",8 menit,20 menit,"""1 sdt ekstrak vanila"",""135 g instant oatmeal"",""60 g creamy peanut butter"",""150 g banana"",""20 g choco chips""","""Hancurkan pisang dengan garpu sampai lembut."",""Tuang bahan lain kecuali chocochips"",""aduk sampai rata."",""Masukkan choco chips"",""aduk lagi sampai rata."",""Tuang ke loyang yg sudah di alas baking paper. Panggang api bawah 180° kurang lebih 15-20 menit.""",sarapan
67,Smoothie Buah Naga,577,138,5.5,0.179,0.0,0.564,0.001639,0.0,3.43,20.28,5.1,6.94,33.0,153.0,"""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Sarapan yang menyegarkan dan mengisi.""",15 menit,.,"""20 gram nanas"",""4 gram kacang almond panggang kering (tanpa tambahan garam)"",""30 gram buah naga"",""30 g pisang single"",""15 g oatmeal"",""50 ml almond breeze almond milk original"",""8 g chia seed""","""Bekukan semua buah buahan."",""Blender dengan susu dan oatmeal."",""Taburi dengan topping yang disukai seperti chia"",""almond"",""dll. dan sajikan.""",sarapan
70,Pancake Pisang,212,51,0.33,0.153,0.0,0.053,0.065,1.0,1.35,10.89,0.7,3.38,5.0,97.0,"""Makan Pagi""","""Pancake pisang termudah yang pernah ada!""",5 menit,20 menit,"""140 gram pisang"",""1/2 sdt gula pasir"",""50 gram tepung terigu putih (semua keperluan)"",""80 ml susu skim""","""Haluskan pisang"",""lalu campur dengan terigu. Aduk rata."",""Tambahkan gula dan susu secara bertahap sambil diaduk hingga rata."",""Panaskan wajan antilengket"",""tuang satu sendok sayur adonan."",""Apabila sudah muncul gelembung"",""balik adonan pancake. Tunggu hingga kedua sisi matang."",""Sajikan hangat"",""boleh ditambah madu atau topping sesuai selera.""",sarapan
73,Bolognese Wrap,1011,242,8.41,0.002799,0.0,0.889,0.0036379999999999,29.0,12.78,29.08,4.9,4.58,716.0,0.43,"""Hidangan Utama"",""Makan Pagi"",""Makan Siang""","""Sempurna untuk setiap saat sepanjang hari.""",10 menit,25 menit,"""100 gram daging sapi giling"",""200 gram wortel dimasak"",""2 siung bawang putih dimasak"",""200 gram mentimun (kupas)"",""15 g saus sambal"",""3 g lada putih bubuk"",""1 sdm saos tiram"",""3 gandum tortilla""","""Kupas timun dan wortel lalu iris memanjang. Rebus wortel dalam air yang mendidih selama 1 menit (jangan terlalu layu)."",""Cincang 2 siung bawang putih. Tumis hingga harum kemudian masukkan daging cincang"",""tambahkan saus tiram"",""saus sambal"",""garam"",""lada. Masak hingga daging matang."",""Letakkan daging cincang"",""wortel dan timun"",""susun memanjang diatas tortilla kemudian gulung."",""Panggang tortilla hingga berwarna kecoklatan. Siap disajikan.""",sarapan
